 Year ;Currency;Total Budget;Staff Costs;Public Information Budget;TA;Fund;Verification;Safety
1957;USD;NA;NA;NA;NA;NA;NA;NA
1958;USD;3343000;2231000;NA;NA;NA;NA;NA
1959;USD;5225000;3103000;137000;430766;NA;NA;NA
1960;USD;5843000;3302000;184000;399000;NA;NA;NA
1961;USD;6168000;3345000;255000;510000;NA;NA;871324
1962;USD;6261000;3497000;260000;1146166;NA;NA;1047840
1963;USD;7337500;4283000;245000;963565;NA;291590;1117390
1964;USD;7444500;4422500;222500;751382;NA;262690;1083710
1965;USD;7938000;4669000;213500;1405353;NA;235900;965600
1966;USD;8744000;5109000;234000;1777000;2000000;296189;931160
1967;USD;9491500;5666000;160000;1876000;2000000;498815;961375
1968;USD;10477000;6187500;216000;2452700;2000000;634300;616000
1969;USD;11251000;6884000;206000;2466700;2000000;921900;623700
1970;USD;12250000;6646200;243000;2544200;2000000;1272000;653700
1971;USD;17029000;10216700;343000;624500;2500000;1232049;673000
1972;USD;20276000;12558200;189800;709000;3000000;2443000;704000
1973;USD;21868000;13415900;283950;904600;3000000;2348946;876000
1974;USD;24673000;15454000;305550;984000;3000000;3441000;1142000
1975;USD;35476000;20531900;448875;1285000;4500000;4802000;2309000
1976;USD;38224000;27091300;535995;1669000;5500000;6443000;3121000
1977;USD;44656000;30825700;624600;1867000;6000000;7951000;3639000
1978;USD;50034000;34945000;706950;2066000;7000000;10891000;3829000
1979;USD;66462000;42838800;832050;2857000;8500000;16795000;4452000
1980;USD;77026000;49734000;938000;3197000;10500000;19396000;5180000
1981;USD;85614000;60090900;1208000;4055000;13000000;25003000;4797000
1982;USD;98989000;65528200;1272000;4477000;16000000;29170000;5395000
1983;USD;96417000;62417000;1225000;4089000;19000000;29533000;5301000
1984;USD;97093000;65672600;1294000;4642000;22500000;33777000;5525000
1985;USD;102954000;57744900;1397000;4507000;26000000;32355000;5402000
1986;USD;94976000;52516700;1230000;4848000;30000000;32275000;5001000
1987;USD;128358000;71354400;1200000;6831000;34000000;43483000;7115000
1988;USD;132637000;73590100;1666000;7155000;38000000;44735000;9191000
1989;USD;152323000;85898200;2048000;8471000;42000000;52493000;9475000
1990;USD;158348000;89742000;2187000;9362000;45500000;54189000;10024000
1991;USD;192126000;109319900;2595000;10896000;49000000;65118000;10256000
1992;USD;202014000;113852100;2737000;11535000;52500000;68159000;10725000
1993;USD;186023000;104889900;2488000;10907000;55500000;65371000;10268000
1994;USD;195018000;109610400;2730000;11414000;58500000;68602000;10913000
1995;USD;205517000;116988700;2858000;11795000;61500000;72422000;11093000
1996;USD;214090000;122195400;2981000;12380000;64500000;75448000;11597000
1997;USD;NA;NA;NA;NA;68000000;NA;13507824
1998;USD;216474000;117233700;3186000;12526000;71500000;79127000;13742000
1999;USD;219289000;121239300;3098000;12669000;73000000;80812000;14167000
2000;USD;221718000;124381200;3077000;12851000;73000000;81568000;14600000
2001;USD;225093000;126513400;3128000;13641000;73000000;82983000;18679000
2002;USD;238708000;138578600;8953000;14690000;73000000;87906000;19916000
2003;USD;245037000;143519400;9253000;15065000;74750000;90212000;20412000
2004;USD;265697000;158178700;10779000;15826000;74750000;102278000;22401000
2005;USD;278523000;165517200;11127000;16329000;77500000;108784000;23341000
2006;EUR;270800000;156674200;10759300;15396000;61723479;106336000;22272000
2007;EUR;280912000;161975800;11103900;15821000;58372857;110879000;23050000
2008;EUR;288829382;178706291;12395801;16241201;54392168;113672507;23515728
2009;EUR;293790656;180097597;12403574;16307161;60940637;117150480;23756478
2010;EUR;315484661;193144622;12547837;18455888;64117070;121542584;29549050
2011;EUR;320401403;196743323;12642027;18773821;61781609;123143928;31041432
