"","Year","WORKSHOP","SEMINAR","TRAINING","MEETING","COURSE","PANEL","CONSULTANT","SYMPOSIA","NETWORK","GROUP_SCIENCE","GROUP_TRAINING","GROUP_ADVICE"
"1957.txt",1957,0,3,22,4,0,3,5,2,0,8,22,12
"1958.txt",1958,0,8,19,17,14,12,1,12,0,32,33,25
"1959.txt",1959,1,5,18,14,25,39,0,12,0,56,44,14
"1960.txt",1960,0,2,12,11,12,29,1,15,0,46,24,14
"1961.txt",1961,0,7,8,15,10,9,3,10,0,26,18,19
"1962.txt",1962,0,4,6,20,3,15,4,10,0,29,9,26
"1963.txt",1963,0,1,15,21,10,23,1,10,0,34,25,22
"1964.txt",1964,0,4,13,26,7,29,1,16,0,49,20,34
"1965.txt",1965,0,8,14,19,9,20,4,13,0,41,23,25
"1966.txt",1966,0,1,17,5,12,12,0,14,0,27,29,5
"1967.txt",1967,0,3,15,17,12,21,3,15,0,39,27,20
"1968.txt",1968,0,3,9,8,9,23,5,16,0,42,18,13
"1969.txt",1969,0,2,8,18,8,22,7,12,0,36,16,25
"1970.txt",1970,0,7,15,23,13,21,2,14,0,42,28,27
"1971.txt",1971,1,6,17,25,12,17,9,10,0,33,30,36
"1972.txt",1972,1,4,4,23,3,22,5,17,0,43,8,28
"1973.txt",1973,3,5,8,28,7,11,1,15,0,31,18,30
"1974.txt",1974,3,7,18,26,10,7,4,15,1,29,31,45
"1975.txt",1975,2,12,17,24,8,1,7,20,2,33,27,55
"1976.txt",1976,5,5,9,40,9,0,7,5,4,10,23,70
"1977.txt",1977,3,5,11,29,13,0,5,13,2,18,27,53
"1978.txt",1978,7,7,19,19,13,0,4,13,1,20,39,32
"1979.txt",1979,6,7,16,19,10,1,1,12,2,20,32,30
"1980.txt",1980,3,8,22,8,17,0,1,7,2,15,42,14
"1981.txt",1981,8,17,33,25,26,0,11,13,1,30,67,44
"1982.txt",1982,14,10,45,41,44,0,13,10,1,20,103,71
"1983.txt",1983,14,18,61,48,41,2,13,6,5,26,116,84
"1984.txt",1984,2,15,41,58,38,1,17,14,8,30,81,102
"1985.txt",1985,20,11,65,46,47,0,18,12,5,23,132,89
"1986.txt",1986,20,14,60,69,45,1,26,12,5,27,125,121
"1987.txt",1987,38,18,75,46,53,1,11,15,4,34,166,82
"1988.txt",1988,26,17,86,90,57,1,21,11,5,29,169,138
"1989.txt",1989,10,5,43,61,21,1,3,14,0,20,74,86
"1990.txt",1990,11,13,52,79,20,1,10,16,6,30,83,117
"1991.txt",1991,14,9,45,78,24,2,17,14,2,25,83,121
"1992.txt",1992,14,5,36,107,12,1,22,13,9,19,62,154
"1993.txt",1993,15,8,43,105,22,2,20,9,2,19,80,154
"1994.txt",1994,10,5,37,86,10,1,17,6,3,12,57,123
"1995.txt",1995,7,12,23,36,7,0,0,12,2,24,37,45
"1996.txt",1996,2,6,20,32,6,0,2,5,6,11,28,59
"1997.txt",1997,3,3,17,39,6,1,2,13,5,17,26,71
"1998.txt",1998,15,10,24,63,9,0,5,14,6,24,48,90
"1999.txt",1999,28,8,43,70,24,1,3,15,10,24,95,105
"2000.txt",2000,12,8,38,31,16,2,1,9,6,19,66,52
"2001.txt",2001,22,8,71,36,29,2,2,5,8,15,122,54
"2002.txt",2002,20,4,68,42,22,1,4,10,9,15,110,64
"2003.txt",2003,20,4,46,24,28,0,0,2,17,6,94,43
"2004.txt",2004,20,7,41,39,14,5,0,2,14,14,75,56
"2005.txt",2005,16,5,65,24,25,1,1,6,12,12,106,43
"2006.txt",2006,24,6,46,28,19,1,0,1,6,8,89,39
"2007.txt",2007,27,6,68,43,30,0,0,4,16,10,125,64
"2008.txt",2008,27,4,47,25,32,1,0,3,11,8,106,38
"2009.txt",2009,35,5,60,48,33,1,0,10,18,16,128,73
"2010.txt",2010,26,5,65,37,36,2,1,6,14,13,127,59
"2011.txt",2011,34,10,70,55,36,1,0,1,24,12,140,83
